x,y,spatial_ref,power,heat_pump_power,capex,opex,utc,npv,hprod,cop,cophp,pres,flow_rate,welld,inj_temp,prd_temp,transmissivity_with_ntg,thickness,transmissivity,permeability,temperature,geometry,distance_to_city
132000.0,459000.0,0,5.9946208000183105,0.0,13.888355255126953,-1.1815600395202637,8.112947463989258,3.8647815789529325,758537.75,7.335331439971924,0.0,55.58820343017578,201.0839080810547,887.3046875,44.39971160888672,73.0518798828125,8.597681312383852,141.2725067138672,8785.69496340322,62.189701080322266,74.39971160888672,POINT (132000 459000),0.0
132000.0,460000.0,0,5.640267848968506,0.0,14.894000053405762,-1.1461448669433594,8.842855453491211,2.229803431191123,713699.1875,6.709453582763672,0.0,62.4529914855957,193.2085723876953,875.9765625,51.73155212402344,79.98725891113281,6.66944611089024,141.5648956298828,6820.171713227581,48.176998138427734,81.73155212402344,POINT (132000 460000),0.0
133000.0,459000.0,0,4.965946674346924,0.0,14.610281944274902,-1.0158236026763916,9.440631866455078,0.9490279468860625,628373.0,6.585155487060547,0.0,63.57787322998047,171.84617614746094,819.3359375,52.408729553222656,80.40389251708984,5.640975384076036,142.19830322265625,5760.211637526751,40.50830078125,82.40872955322266,POINT (133000 459000),0.0
136000.0,460000.0,0,4.496914386749268,0.0,15.366103172302246,-0.9452051520347595,10.448502540588379,-0.6890626835377156,569023.3125,6.112855911254883,0.0,69.13317108154297,159.59571838378906,796.6796875,58.77814483642578,86.23663330078125,4.434477651468944,142.01589965820312,4528.6740465884795,31.888500213623047,88.77814483642578,POINT (136000 460000),0.0
141000.0,456000.0,0,4.461659908294678,0.0,14.982977867126465,-0.9307132363319397,10.306818962097168,-0.46768979322885273,564562.375,6.238968849182129,0.0,67.2768783569336,157.97671508789062,819.3359375,59.069488525390625,86.56423950195312,4.489958734013699,129.34080505371094,4569.002522090741,35.32529830932617,89.06948852539062,POINT (141000 456000),0.0
134000.0,459000.0,0,4.445985317230225,0.0,14.785606384277344,-0.9228964447975159,10.225738525390625,-0.3428884973711014,562578.9375,6.323022365570068,0.0,66.42361450195312,156.3634490966797,785.3515625,55.13578796386719,82.75806427001953,4.690052261513964,142.3426055908203,4786.255995148676,33.624900817871094,85.13578796386719,POINT (134000 459000),0.0
138000.0,459000.0,0,4.440187931060791,0.0,15.286722183227539,-0.9330993890762329,10.496670722961426,-0.753440801203215,561845.375,6.116056442260742,0.0,68.93325805664062,157.92037963867188,796.6796875,59.79560089111328,87.20329284667969,4.335529724438139,139.05230712890625,4422.656006860896,31.805700302124023,89.79560089111328,POINT (138000 459000),0.0
137000.0,459000.0,0,4.34869909286499,0.0,15.140727043151855,-0.9124380350112915,10.564231872558594,-0.8382936562879084,550268.6875,6.141880512237549,0.0,68.54988098144531,154.58944702148438,785.3515625,58.7406005859375,86.14336395263672,4.302943410504408,140.13720703125,4387.177333717234,31.306299209594727,88.7406005859375,POINT (137000 459000),0.0
135000.0,460000.0,0,4.242874622344971,0.0,15.455498695373535,-0.8984821438789368,10.906599044799805,-1.3141794743184685,536878.0625,5.992813587188721,0.0,70.49628448486328,151.92819213867188,774.0234375,59.82554626464844,87.07331085205078,4.060161053966677,142.6475067138672,4146.406281690783,29.0674991607666,89.82554626464844,POINT (135000 460000),0.0
134000.0,460000.0,0,4.195074558258057,0.0,15.474934577941895,-0.8896991014480591,11.000216484069824,-1.4335502611255289,530829.625,5.969022750854492,0.0,70.78070068359375,150.4644012451172,762.6953125,59.91777801513672,87.12617492675781,3.9876233801163905,142.90440368652344,4073.5757662376855,28.505599975585938,89.91777801513672,POINT (134000 460000),0.0
