x,y,spatial_ref,power,heat_pump_power,capex,opex,utc,npv,hprod,cop,cophp,pres,flow_rate,welld,inj_temp,prd_temp,transmissivity_with_ntg,thickness,transmissivity,permeability,temperature
100000.0,420000.0,0,9.999999974752427e-07,0.0,12.026656150817871,-0.004619421903043985,22921582.0,-7.831115594609106,0.12653639912605286,-16.76542854309082,0.0,68.73391723632812,3.024232864379883,400.1953125,61.85502624511719,33.89973831176758,0.06382311240387638,12.193300247192383,75.16560225766989,6.1645002365112305,91.85502624511719
100000.0,421000.0,0,9.999999974752427e-07,0.0,14.072468757629395,-0.004276851657778025,26799430.0,-9.155975684760152,0.12653639912605286,-30.306591033935547,0.0,78.50629425048828,2.4514172077178955,366.2109375,71.9150161743164,29.51506805419922,0.0402262836708017,12.381699562072754,48.75913242673437,3.937999963760376,101.9150161743164
100000.0,422000.0,0,9.999999974752427e-07,0.0,14.287981033325195,-0.0049973297864198685,27222190.0,-9.300410910615385,0.12653639912605286,-26.184785842895508,0.0,79.46353912353516,2.829892635345459,388.8671875,72.67272186279297,32.25497055053711,0.046892609278527814,12.647700309753418,58.68912118060052,4.6402997970581055,102.67272186279297
100000.0,423000.0,0,9.999999974752427e-07,0.0,14.175052642822266,-0.00591302989050746,27025034.0,-9.233052902788923,0.12653639912605286,-20.56806755065918,0.0,78.89688873291016,3.3725016117095947,434.1796875,71.92819213867188,36.04058837890625,0.05909603658032517,13.034099578857422,76.54926871603311,5.873000144958496,101.92819213867188
100000.0,424000.0,0,9.999999974752427e-07,0.0,14.434205055236816,-0.006581475026905537,27529672.0,-9.405461606320792,0.12653639912605286,-18.98093032836914,0.0,80.05896759033203,3.699272632598877,445.5078125,73.25179290771484,38.24610137939453,0.0641374147169602,13.472900390625,86.09048900194466,6.389900207519531,103.25179290771484
100000.0,425000.0,0,9.999999974752427e-07,0.0,13.291970252990723,-0.00759135652333498,25379986.0,-8.671025086953234,0.12653639912605286,-11.491080284118652,0.0,74.70829010009766,4.572514057159424,502.1484375,67.87094116210938,43.44376754760742,0.09260010318534251,13.815699577331543,128.87975066119088,9.328499794006348,97.87094116210938
100000.0,426000.0,0,9.999999974752427e-07,0.0,16.118051528930664,-0.005532898474484682,30706966.0,-10.490978628977786,0.12653639912605286,-32.96752166748047,0.0,87.50093841552734,2.845385789871216,400.1953125,81.29474639892578,32.24222946166992,0.04066381018964395,13.884499549865723,58.63563262314483,4.223100185394287,111.29474639892578
100000.0,427000.0,0,9.999999974752427e-07,0.0,19.63692855834961,-0.0034540805500000715,37348948.0,-12.760200339395944,0.12653639912605286,-81.1064453125,0.0,101.84161376953125,1.5261632204055786,298.2421875,95.68445587158203,21.76235580444336,0.015453207528046136,13.502400398254395,23.00268998033846,1.7036000490188599,125.68445587158203
100000.0,428000.0,0,9.999999974752427e-07,0.0,21.472278594970703,-0.0021693899761885405,40809444.0,-13.942472837577242,0.12653639912605286,-132.31137084960938,0.0,108.79056549072266,0.8972811698913574,241.6015625,102.45718383789062,16.8333683013916,0.007684807270512397,12.532400131225586,11.69147622703747,0.9329000115394592,132.45718383789062
100000.0,429000.0,0,9.999999974752427e-07,0.0,23.39661979675293,-0.0013331016525626183,44447356.0,-15.185359206584376,0.12653639912605286,-192.59548950195312,0.0,115.74626922607422,0.5182256102561951,196.2890625,108.95481872558594,13.897900581359863,0.003801595446179474,10.961700439453125,5.807508868778314,0.5297999978065491,138.95481872558594
