x,y,spatial_ref,power,heat_pump_power,capex,opex,utc,npv,hprod,cop,cophp,pres,flow_rate,welld,inj_temp,prd_temp,transmissivity_with_ntg,thickness,transmissivity,permeability,temperature
100000.0,420000.0,0,9.999999974752427e-07,0.0,11.196893692016602,-0.002586387563496828,21307836.0,-7.279782053160113,0.12653639912605286,-32.59119415283203,0.0,68.73391723632812,1.69320547580719,298.2421875,61.85502624511719,23.875978469848633,0.06382311240387638,12.193300247192383,75.16560225766989,6.1645002365112305,91.85502624511719
100000.0,421000.0,0,9.999999974752427e-07,0.0,13.24606704711914,-0.0023574598599225283,25194206.0,-8.60755366993321,0.12653639912605286,-52.84408950805664,0.0,78.50629425048828,1.351215124130249,264.2578125,71.9150161743164,20.8592472076416,0.0402262836708017,12.381699562072754,48.75913242673437,3.937999963760376,101.9150161743164
100000.0,422000.0,0,9.999999974752427e-07,0.0,13.460230827331543,-0.0027768444269895554,25608732.0,-8.749175763870353,0.12653639912605286,-47.320552825927734,0.0,79.46353912353516,1.5724347829818726,286.9140625,72.67272186279297,22.57748794555664,0.046892609278527814,12.647700309753418,58.68912118060052,4.6402997970581055,102.67272186279297
100000.0,423000.0,0,9.999999974752427e-07,0.0,13.34204387664795,-0.0033422415144741535,25394990.0,-8.67615117771095,0.12653639912605286,-38.90340805053711,0.0,78.89688873291016,1.9062113761901855,320.8984375,71.92819213867188,25.20973777770996,0.05909603658032517,13.034099578857422,76.54926871603311,5.873000144958496,101.92819213867188
100000.0,424000.0,0,9.999999974752427e-07,0.0,13.600544929504395,-0.0037308605387806892,25893118.0,-8.846335750955378,0.12653639912605286,-36.863834381103516,0.0,80.05896759033203,2.096979856491089,332.2265625,73.25179290771484,26.69126319885254,0.0641374147169602,13.472900390625,86.09048900194466,6.389900207519531,103.25179290771484
100000.0,425000.0,0,9.999999974752427e-07,0.0,12.450723648071289,-0.004360525868833065,23721864.0,-8.104530561535675,0.12653639912605286,-24.75922393798828,0.0,74.70829010009766,2.6264426708221436,377.5390625,67.87094116210938,30.894166946411133,0.09260010318534251,13.815699577331543,128.87975066119088,9.328499794006348,97.87094116210938
100000.0,426000.0,0,9.999999974752427e-07,0.0,15.290343284606934,-0.0030699840281158686,29089018.0,-9.938209481466151,0.12653639912605286,-58.93173599243164,0.0,87.50093841552734,1.5787550210952759,298.2421875,81.29474639892578,22.484830856323242,0.04066381018964395,13.884499549865723,58.63563262314483,4.223100185394287,111.29474639892578
100000.0,427000.0,0,9.999999974752427e-07,0.0,18.81892967224121,-0.0018080412410199642,35764828.0,-12.218988469820326,0.12653639912605286,-126.2168197631836,0.0,101.84161376953125,0.7988385558128357,218.9453125,95.68445587158203,16.155513763427734,0.015453207528046136,13.502400398254395,23.00268998033846,1.7036000490188599,125.68445587158203
100000.0,428000.0,0,9.999999974752427e-07,0.0,20.658105850219727,-0.0010968814603984356,39243396.0,-13.407435235675138,0.12653639912605286,-186.50880432128906,0.0,108.79056549072266,0.4536491930484772,173.6328125,102.45718383789062,13.453812599182129,0.007684807270512397,12.532400131225586,11.69147622703747,0.9329000115394592,132.45718383789062
100000.0,429000.0,0,9.999999974752427e-07,0.0,22.585126876831055,-0.0006509743398055434,42893752.0,-14.654573075849228,0.12653639912605286,-247.19140625,0.0,115.74626922607422,0.25302669405937195,139.6484375,108.95481872558594,11.903167724609375,0.003801595446179474,10.961700439453125,5.807508868778314,0.5297999978065491,138.95481872558594
