x,y,spatial_ref,power,heat_pump_power,capex,opex,utc,npv,hprod,cop,cophp,pres,flow_rate,welld,inj_temp,prd_temp,transmissivity_with_ntg,thickness,transmissivity,permeability,temperature,geometry,distance_to_city
135000,467000,0,8.43343544,0,14.84041405,-1.624432683,6.970703125,8.728217815,1067136.5,7.875114918,0,50.63719559,276.9361572,1057.226563,40.71070862,69.8508606,14.96270168,141.1595001,15550.51122,110.1626968,70.71070862,POINT (135000 467000),6151.151116
151000,457000,0,8.360230446,1.340721846,14.24281788,-1.696691871,7.058891296,8.400565594,1057873.375,6.615574837,5.135757446,45.33181763,271.8510437,1159.179688,35.56000519,64.83178711,17.92734489,115.0551987,18687.94458,162.4259033,65.56000519,POINT (151000 457000),9474.720819
149000,462000,0,8.269826889,0,14.46116638,-1.581194043,6.923015594,8.693626007,1046434.125,8.06265831,0,48.80075455,270.971344,1102.539063,40.09980011,69.25856018,15.32563439,125.8608017,15937.63966,126.629097,70.09980011,POINT (149000 462000),9765.310253
151000,456000,0,8.262195587,1.406150103,14.1688385,-1.68492496,7.098811626,8.189371875,1045468.375,6.527777195,5.101473331,45.20849609,268.6442566,1159.179688,35.2882309,64.55718994,17.78959702,112.9925995,18550.15347,164.171402,65.2882309,POINT (151000 456000),9310.668318
145000,458000,0,8.257975578,0,14.53371906,-1.582530737,6.952682018,8.597468767,1044934.5,8.004005432,0,49.35118866,270.8500366,1091.210938,40.34152985,69.48833466,15.0690401,127.8501968,15565.58199,121.7485962,70.34152985,POINT (145000 458000),4230.534648
140000,460000,0,8.232701302,0,14.82316399,-1.59117496,7.060565472,8.267712353,1041736.313,7.791158676,0,51.413311,270.9962463,1045.898438,41.7882309,70.88323212,14.08752383,137.8968048,14445.7792,104.7578964,71.7882309,POINT (140000 460000),1641.325284
137000,467000,0,8.173951149,0,14.81513023,-1.581057668,7.086123466,8.13733894,1034302.313,7.772058487,0,51.60618591,269.1359253,1045.898438,41.54113007,70.62988281,13.98132417,140.6327972,14529.07007,103.3121033,71.54113007,POINT (137000 467000),6513.922216
146000,456000,0,8.137274742,0.03728212,14.37183285,-1.558540702,6.962485313,8.444551182,1029661.375,8.009085655,5.74901104,48.7805748,266.6854858,1102.539063,39.87378693,69.02359009,15.08439413,122.0794983,15539.70715,127.2917023,69.87378693,POINT (146000 456000),4376.875744
136000,466000,0,8.111071587,0,14.84113121,-1.571949601,7.125983715,7.964283364,1026345.813,7.724956036,0,52.06751633,267.3391113,1034.570313,41.87717438,70.94795227,13.65356157,141.5363007,14167.85475,100.100502,71.87717438,POINT (136000 466000),5354.051644
149000,461000,0,8.107521057,0,14.43321705,-1.553700089,6.991161823,8.334242697,1025896.5,8.003973007,0,49.31470871,266.1138611,1102.539063,40.66130829,69.78878021,14.70869577,125.0046005,15300.83796,122.4021988,70.66130829,POINT (149000 461000),9195.039113
140000,461000,0,8.093854904,0,14.81699467,-1.568201661,7.126754284,7.945246757,1024167.188,7.731276989,0,51.99523163,266.7866516,1034.570313,41.99150085,71.06046295,13.60725911,138.7702942,13996.35819,100.8599014,71.99150085,POINT (140000 461000),2345.621135
142000,458000,0,8.09076786,0,14.70718479,-1.563018441,7.091632366,8.039300761,1023776.625,7.802497387,0,51.25378036,266.5171509,1057.226563,42.26921082,71.34500122,13.75982222,132.3540955,14090.96014,106.4641037,72.26921082,POINT (142000 458000),2024.658414
139000,463000,0,8.089249611,0,14.81567383,-1.567274213,7.128340721,7.936342003,1023584.5,7.731820583,0,52.00618362,266.5481567,1034.570313,41.5532074,70.62740326,13.68816262,140.569397,14142.12515,100.6060028,71.5532074,POINT (139000 463000),3814.436175
138000,464000,0,8.053977966,0,14.82918835,-1.561930299,7.150241852,7.841473494,1019121.375,7.708849907,0,52.2292099,265.536377,1034.570313,41.75537872,70.81919098,13.53089722,141.3224945,13998.44528,99.05319977,71.75537872,POINT (138000 464000),4043.478221
137000,465000,0,8.030266762,0,14.84246254,-1.558841348,7.167244434,7.771741007,1016121.063,7.685647964,0,52.45345306,264.9177551,1023.242188,42.09786987,71.15132904,13.33615913,141.6215057,13816.99029,97.56279755,72.09786987,POINT (137000 465000),4561.304042
145000,456000,0,7.933187008,0,14.44009781,-1.525665879,7.079851627,7.914652066,1003836.875,7.914562702,0,50.14245224,260.9165649,1091.210938,41.37049866,70.4581604,13.95887126,123.6407013,14331.49034,115.9123993,71.37049866,POINT (145000 456000),3393.42078
139000,462000,0,7.848430157,0,14.83697891,-1.528238535,7.258497715,7.351071269,993112.0625,7.61272192,0,53.15485001,259.4776306,1023.242188,42.79309845,71.80437469,12.71204771,140.3645935,13090.35945,93.25969696,72.79309845,POINT (139000 462000),2865.014506
